ESTU,REGISTRO,CUES,CCAA,PROV,MUN,TAMUNI,CAPITAL,ENTREV,TIPO_TEL,SEXO,EDAD,P0,ADQUINAC,PAISNAC,PAISNAC2,P1,P2_1,P2_2,P3,P4,P5,P6,P7,ECOPER,ECOESP,PESPANNA1,PESPANNA2,PESPANNA3,PPERSONAL1,PPERSONAL2,PPERSONAL3,PREFPTE,PROBVOTO,INTENCIONG,INTENCIONGALTER,SIMPATIA,ESCIDEOL,LIDERESCONOCE_1,LIDERESCONOCE_2,LIDERESCONOCE_3,LIDERESCONOCE_4,VALORALIDERES_1,VALORALIDERES_2,VALORALIDERES_3,VALORALIDERES_4,CONFIANZAPTE,CONFIANZAOPOSIC,CONOMINIS_1,CONOMINIS_2,CONOMINIS_3,CONOMINIS_4,CONOMINIS_5,CONOMINIS_6,CONOMINIS_7,CONOMINIS_8,CONOMINIS_9,CONOMINIS_10,CONOMINIS_11,CONOMINIS_12,CONOMINIS_13,CONOMINIS_14,CONOMINIS_15,CONOMINIS_16,CONOMINIS_17,CONOMINIS_18,CONOMINIS_19,CONOMINIS_20,CONOMINIS_21,CONOMINIS_22,VALMINIS_1,VALMINIS_2,VALMINIS_3,VALMINIS_4,VALMINIS_5,VALMINIS_6,VALMINIS_7,VALMINIS_8,VALMINIS_9,VALMINIS_10,VALMINIS_11,VALMINIS_12,VALMINIS_13,VALMINIS_14,VALMINIS_15,VALMINIS_16,VALMINIS_17,VALMINIS_18,VALMINIS_19,VALMINIS_20,VALMINIS_21,VALMINIS_22,PARTICIPACIONG,RECUVOTOG,CERCANIA,P23_1,P23_2,ESCUELA,NIVELESTENTREV,RELIGION,PRACTICARELIG6,ECIVIL,SITLAB,RELALAB,CNO11,INGRESHOG,CLASESOCIAL,SINCERIDAD,IA_I501,IA_I502,IA_I503,IA_I504,IA_I505,IA_I506,IA_I507,IA_I508,IA_I509,IA_I510,IA_I511,IA_I512,IA_I513,IA_I514,IA_I515,IA_I516,IA_I517,IA_I518,IA_I519,IA_I520,IA_I521,IA_I522,IA_I523,IA_I524,IA_I525,IA_I526,IA_I528,IA_I529,IA_I530,IA_I531,IA_I532,IA_I533,IA_I534,IA_I535,IA_I536,IA_I537,IA_I538,IA_I539,IA_I540,IA_I541,IA_I542,IA_I543,IA_OBS1,IA_OBS2,IA_E1_DIA,IA_E1_MES,IA_E1_ANYO,IA_E2,IA_E3,IA_E4,IA_VALIDA,IA_APLAZADA,IA_MODIFICADA,IA_SUPERVISADA,IA_C2,IA_C2A,IA_C2B_1,IA_C2B_2,IA_C2B_3,IA_C2B_4,IA_C2B_5,IA_C2B_6,IA_C2B_7,IA_C2B_8,IA_C2B_9,IA_C2B_10,IA_C2B_11,IA_C2B_12,IA_C2B_13,IA_C2B_14,IA_C2B_15,IA_C2B_16,IA_C2B_17,IA_C2B_18,IA_C2B_19,IA_C2B_20,IA_C2B_21,IA_C2B_22,IA_C2B_23,IA_C2B_24,IA_C2B_25,IA_C3,IA_C4,PREFPTER,INTENCIONGR,INTENCIONGALTERR,SIMPATIAR,VOTOSIMG,RECUVOTOGR,RECUERDO,CERCANIAR,ESTUDIOS,CNO11R,CLASESUB,PESO,PESOCCAA,CHALLENGER,NIVELESTAGR,CLASESUBAGR,AntiEliteEstablishment,CHALLENGERDERIZQOTROS
3468,92099,2935,16,20,69,5,2,0,2,2,61,1,1,1,,3,1,4,1,1,1,1,1,2,5,13,1,9,9,998,999,1,10,1602,9998,,1,1,1,1,1,8,1,8,1,3,4,1,1,1,7,7,1,1,7,1,1,1,7,1,7,7,7,1,1,1,7,7,1,7,5,5,,,7,5,,3,7,6,,3,,,,3,5,5,,,6,1,1602,1602,1,,3,6,2,1,2,1,1,5,5,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,13,0,0,0,0,7,0,,,3,7,24,3,21,2,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1602,9998,,1602,1602,1602,1602,4,5,2,0.79511,0.88129,1,2,2,0,1
3468,93421,2974,16,20,69,5,2,0,2,1,23,1,1,1,,2,1,8,2,2,1,2,4,2,2,77,16,15,3,20,9,96,10,27,8996,,3,1,1,1,1,6,2,1,2,3,4,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,,,1,,,1,,,2,,,,,,,,,,,,,,1,1602,27,2,,3,5,2,1,2,1,1,7,3,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,,,3,7,24,3,14,2,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,8995,8996,,8995,1602,1602,8995,5,7,4,1.1141,0.83227,1,2,2,0,1
3468,95407,3023,16,20,69,5,2,0,2,2,55,1,1,1,,3,4,1,2,3,1,2,2,2,2,13,1,998,13,998,999,97,10,1601,9993,,7,1,1,1,1,5,3,4,5,3,4,7,7,7,7,7,1,7,7,1,7,1,7,7,7,7,7,7,1,7,7,7,7,,,,,,5,,,5,,5,,,,,,,5,,,,,1,1601,1601,1,,3,6,2,1,2,4,,,2,2,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,142,0,0,0,0,103,0,,,3,7,24,3,14,2,1,0,0,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,97,1601,9993,,1601,1601,1601,1601,4,16,1,0.79511,0.88129,1,2,1,0,1
3468,161970,3788,16,20,69,5,2,0,2,1,42,1,1,1,,1,4,1,2,4,2,2,4,1,5,35,8,1,35,1,3,2,7,2,3,,7,1,1,1,1,1,6,2,7,4,3,7,7,1,7,7,1,7,7,1,7,1,7,7,1,7,7,7,1,7,7,7,7,,,3,,,2,,,4,,2,,,2,,,,5,,,,,2,,2,,2,3,13,2,2,2,1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,,,4,7,24,4,18,3,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,2,,9997,2,6,1,2,0.58574,0.81908,1,3,2,0,1
3468,3722,156,16,20,0,3,3,0,1,2,39,1,1,1,,3,1,4,2,2,1,1,2,2,2,21,52,80,9,21,7,98,10,8,1602,,3,1,1,1,1,6,4,8,1,2,3,7,7,1,7,7,1,1,1,1,7,1,7,7,1,7,7,7,1,7,7,7,7,,,5,,,8,5,5,4,,6,,,2,,,,7,,,,,1,9999,8,,,3,11,5,,1,1,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,7,24,1,16,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,8,1602,,8,9999,9999,8,6,2,2,0.80855,0.99844,0,3,2,0,2
3468,46888,1822,16,20,0,3,3,0,2,1,65,1,1,1,,1,1,2,2,2,1,1,1,1,2,13,58,18,50,16,13,1,10,1601,21,,4,1,1,1,1,7,2,7,1,2,4,1,7,1,1,7,1,1,7,1,7,1,7,1,1,1,7,1,1,1,7,7,1,6,,7,7,,7,7,,8,,9,,6,6,6,,8,8,6,,,6,1,1601,1601,1,,3,11,2,2,1,2,,,1,3,1,0,0,0,0,0,0,8,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,20,1,,,2,7,24,2,19,2,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1601,21,,1601,1601,1601,1601,6,12,2,0.42798,1.02052,1,3,2,0,1
3468,103630,3183,16,20,0,3,3,0,2,2,34,1,1,1,,2,1,2,5,1,1,2,2,2,4,9,56,82,9,56,80,97,10,1602,9997,,3,1,1,1,1,3,1,3,99,3,4,1,1,1,1,7,1,1,1,1,1,1,7,7,1,7,7,1,1,1,7,7,1,3,4,2,3,,5,4,5,1,2,4,,,1,,,5,3,5,,,2,1,1602,1602,1,,3,13,6,,2,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,,,3,7,24,3,15,4,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,1602,9997,,1602,1602,1602,1602,6,2,1,0.82291,1.50125,1,3,1,0,1
3468,42530,1665,16,20,0,3,3,0,2,1,63,1,1,1,,2,1,2,2,4,1,1,2,1,2,46,7,20,997,999,999,97,8,1602,1601,,4,1,1,1,1,1,1,2,1,3,4,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,1,1,1,7,1,1,1,2,2,2,2,2,2,1,2,1,2,3,,2,1,,2,2,1,,3,3,3,1,1601,1601,2,,3,11,5,,1,2,,,3,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,,,2,7,24,2,17,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,1602,1601,,1602,1601,1601,1601,6,12,2,0.47208,0.93525,1,3,2,0,1
3468,15599,642,16,20,0,3,3,0,1,2,54,1,1,1,,2,4,1,2,1,1,2,2,2,2,9,6,22,5,13,22,1,9,1601,9998,,6,1,1,1,1,6,1,7,1,2,4,1,7,1,7,7,1,1,1,1,7,1,7,1,7,7,7,1,1,7,7,7,1,5,,7,,,7,6,5,6,,7,,5,,,,6,6,,,,5,1,1601,21,1,,3,7,2,2,1,1,1,3,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,17,0,0,0,0,12,0,,,1,7,24,1,21,4,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1601,9998,,1601,1601,1601,21,5,3,2,0.6025,1.0467,0,2,2,0,2
3468,106887,3241,16,20,0,3,3,0,1,2,50,1,1,1,,3,1,2,3,3,1,1,1,2,2,6,7,80,6,7,80,1,8,1602,21,,3,1,1,1,1,5,2,5,1,2,4,1,7,7,7,7,1,1,7,1,7,1,7,7,7,7,7,7,1,7,7,7,7,3,,,,,6,98,,4,,7,,,,,,,7,,,,,1,1602,1602,1,,3,13,4,,4,1,1,2,3,5,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,66,1,0,0,0,69,1,,,3,7,24,3,19,3,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1602,21,,1602,1602,1602,1602,6,2,4,0.6025,1.0467,1,3,2,0,1
